# Goxel 0.11.0
# One line per voxel
# X Y Z RRGGBB
0 0 0 8f563b
1 0 0 8f563b
2 0 0 8f563b
3 0 0 8f563b
4 0 0 8f563b
5 0 0 8f563b
6 0 0 8f563b
7 0 0 8f563b
0 1 0 8f563b
1 1 0 8f563b
2 1 0 8f563b
3 1 0 8f563b
4 1 0 8f563b
5 1 0 8f563b
6 1 0 8f563b
7 1 0 8f563b
0 2 0 8f563b
1 2 0 8f563b
2 2 0 8f563b
3 2 0 8f563b
4 2 0 8f563b
5 2 0 8f563b
6 2 0 8f563b
7 2 0 8f563b
0 3 0 8f563b
1 3 0 8f563b
2 3 0 8f563b
3 3 0 8f563b
4 3 0 8f563b
5 3 0 8f563b
6 3 0 8f563b
7 3 0 8f563b
0 4 0 8f563b
1 4 0 8f563b
2 4 0 8f563b
3 4 0 8f563b
4 4 0 8f563b
5 4 0 8f563b
6 4 0 8f563b
7 4 0 8f563b
0 5 0 8f563b
1 5 0 8f563b
2 5 0 8f563b
3 5 0 8f563b
4 5 0 8f563b
5 5 0 8f563b
6 5 0 8f563b
7 5 0 8f563b
0 6 0 8f563b
1 6 0 8f563b
2 6 0 8f563b
3 6 0 8f563b
4 6 0 8f563b
5 6 0 8f563b
6 6 0 8f563b
7 6 0 8f563b
0 7 0 8f563b
1 7 0 8f563b
2 7 0 8f563b
3 7 0 8f563b
4 7 0 8f563b
5 7 0 8f563b
6 7 0 8f563b
7 7 0 8f563b
1 1 1 d9a066
6 1 1 d9a066
1 6 1 d9a066
6 6 1 d9a066
1 1 2 d9a066
6 1 2 d9a066
1 6 2 d9a066
6 6 2 d9a066
1 1 3 d9a066
6 1 3 d9a066
1 6 3 d9a066
6 6 3 d9a066
1 1 4 d9a066
6 1 4 d9a066
1 6 4 d9a066
6 6 4 d9a066
1 1 5 d9a066
6 1 5 d9a066
1 6 5 d9a066
6 6 5 d9a066
1 1 6 d9a066
6 1 6 d9a066
1 6 6 d9a066
6 6 6 d9a066
0 0 7 8f563b
1 0 7 8f563b
2 0 7 8f563b
3 0 7 8f563b
4 0 7 8f563b
5 0 7 8f563b
6 0 7 8f563b
7 0 7 8f563b
0 1 7 8f563b
1 1 7 8f563b
2 1 7 8f563b
3 1 7 8f563b
4 1 7 8f563b
5 1 7 8f563b
6 1 7 8f563b
7 1 7 8f563b
0 2 7 8f563b
1 2 7 8f563b
2 2 7 8f563b
3 2 7 8f563b
4 2 7 8f563b
5 2 7 8f563b
6 2 7 8f563b
7 2 7 8f563b
0 3 7 8f563b
1 3 7 8f563b
2 3 7 8f563b
3 3 7 8f563b
4 3 7 8f563b
5 3 7 8f563b
6 3 7 8f563b
7 3 7 8f563b
0 4 7 8f563b
1 4 7 8f563b
2 4 7 8f563b
3 4 7 8f563b
4 4 7 8f563b
5 4 7 8f563b
6 4 7 8f563b
7 4 7 8f563b
0 5 7 8f563b
1 5 7 8f563b
2 5 7 8f563b
3 5 7 8f563b
4 5 7 8f563b
5 5 7 8f563b
6 5 7 8f563b
7 5 7 8f563b
0 6 7 8f563b
1 6 7 8f563b
2 6 7 8f563b
3 6 7 8f563b
4 6 7 8f563b
5 6 7 8f563b
6 6 7 8f563b
7 6 7 8f563b
0 7 7 8f563b
1 7 7 8f563b
2 7 7 8f563b
3 7 7 8f563b
4 7 7 8f563b
5 7 7 8f563b
6 7 7 8f563b
7 7 7 8f563b
